Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.54,0,0.0,9.700000000000001,62,52.1,7.3,-22.43,11.078,14.641,4.197,9.899999762399945e+24,53.8,57.0,1553,0,50.9,0.36
2,0,0.0,0.55,0,0.0,12.6,123,52.1,20.3,-22.42,11.07,14.641,4.197,40.0,53.8,57.0,1553,0,50.9,0.36
3,0,0.0,0.55,0,0.0,15.1,318,52.1,32.8,-22.42,11.062,14.641,4.197,53.0,53.8,58.0,1553,0,50.9,0.36
4,0,0.0,0.55,0,1.6,17.299999999999997,558,52.1,40.3,-22.43,11.055,14.641,4.197,53.0,53.8,57.0,1553,0,50.9,0.36
5,0,0.0,0.55,0,2.5,19.3,769,52.1,45.4,-22.42,11.047,14.641,4.197,53.0,53.8,57.0,1553,0,50.9,0.36
6,0,0.0,0.56,0,3.4000000000000004,21.099999999999998,916,52.1,49.9,-22.42,11.031,14.641,4.197,53.0,53.8,57.0,1553,0,50.9,0.37
7,0,0.0,0.58,0,4.3999999999999995,22.8,999,52.1,54.2,-22.43,11.008,14.641,4.197,53.0,53.8,57.0,1553,0,50.9,0.36
8,0,0.0,0.57,0,5.4,24.2,1032,52.2,57.9,-22.43,10.984,14.637,4.197,53.0,53.8,57.0,1553,0,50.9,0.37
9,0,0.0,0.58,0,6.4,25.4,1035,52.3,61.2,-22.43,10.953,14.637,4.197,53.0,53.8,57.0,1553,0,50.9,0.36
10,0,0.0,0.61,0,7.3999999999999995,26.700000000000003,1023,52.4,48.5,-22.44,10.914,14.637,4.197,53.0,53.8,57.0,1553,0,50.9,0.36
11,0,0.0,0.59,0,8.3,28.1,1015,52.4,45.2,-22.42,10.867,14.637,4.197,53.0,53.8,57.0,1553,0,50.9,0.37
12,0,0.0,0.62,0,9.3,29.5,1018,52.5,46.3,-22.41,10.82,14.637,4.197,52.0,53.8,57.0,1553,0,50.9,0.36
13,0,0.0,0.62,0,10.299999999999999,31.3,1029,52.5,47.1,-22.42,10.758,14.637,4.197,53.0,53.8,57.0,1553,0,50.9,0.36
14,0,0.0,0.66,0,11.4,32.9,1042,52.6,47.9,-22.41,10.711,14.637,4.197,53.0,53.8,57.0,1553,0,50.9,0.37
15,0,0.0,0.69,0,12.6,34.8,1058,52.6,48.7,-22.4,10.656,14.637,4.197,53.0,53.8,57.0,1553,0,50.9,0.36
16,0,0.0,0.71,0,14.000000000000002,37.2,1087,52.6,49.7,-22.42,10.602,14.637,4.197,52.0,53.8,57.0,1553,0,50.9,0.36
17,0,0.0,0.81,0,15.6,40.300000000000004,1125,52.7,51.1,-22.38,10.539,14.637,4.197,52.0,53.7,57.0,1553,0,50.9,0.36
18,0,0.0,0.91,0,17.4,43.2,1160,52.7,52.2,-22.39,10.477,14.637,4.197,52.0,53.7,57.0,1553,0,50.9,0.36
19,0,0.0,0.97,0,19.5,47.199999999999996,1181,52.8,53.9,-22.38,10.406,14.637,4.197,52.0,53.7,57.0,1553,0,50.9,0.36
20,0,0.0,1.04,0,22.3,52.300000000000004,1190,52.9,56.0,-22.38,10.336,14.637,4.197,52.0,53.7,57.0,1553,0,50.9,0.37
21,0,0.0,0.76,0,24.3,53.6,1154,53.0,56.9,-22.38,10.258,14.637,4.197,52.0,53.6,57.0,1553,0,50.9,0.36
22,0,0.0,0.7,0,25.0,53.400000000000006,1061,53.1,56.9,-22.36,10.18,14.637,4.197,52.0,53.6,57.0,1553,0,50.9,0.36
23,0,0.0,0.6,0,25.2,53.400000000000006,972,53.3,56.8,-22.36,10.109,14.637,4.197,52.0,53.5,57.0,1553,0,50.9,0.35
24,0,0.0,0.59,0,25.3,53.400000000000006,902,53.4,56.7,-22.37,10.039,14.637,4.197,52.0,53.5,57.0,1553,0,50.9,0.35
25,0,0.0,0.61,0,25.2,53.400000000000006,853,53.6,56.6,-22.36,9.961,14.641,4.197,52.0,53.5,57.0,1553,0,50.9,0.35
26,0,0.0,0.6,0,25.2,53.400000000000006,817,53.7,56.5,-22.35,9.898,14.641,4.197,52.0,53.5,57.0,1553,0,50.9,0.35
27,0,0.0,0.6,0,25.2,53.400000000000006,792,53.8,56.5,-22.38,9.828,14.641,4.197,52.0,53.5,57.0,1553,0,50.9,0.35
28,0,0.0,0.59,0,25.2,53.400000000000006,774,54.0,56.4,-22.37,9.773,14.641,4.197,52.0,53.5,57.0,1553,0,50.9,0.35
29,0,0.0,0.58,0,25.1,53.400000000000006,763,54.1,56.3,-22.36,9.719,14.641,4.197,52.0,53.5,57.0,1553,0,50.9,0.35
30,0,0.0,0.59,0,25.1,53.400000000000006,756,54.2,56.3,-22.37,9.664,14.641,4.197,52.0,53.5,57.0,1553,0,50.9,0.36
31,0,0.0,0.6,0,25.1,53.400000000000006,749,54.4,56.1,-22.37,9.609,14.641,4.197,52.0,53.5,57.0,1553,0,50.9,0.36
32,0,0.0,0.58,0,25.1,53.400000000000006,747,54.6,56.1,-22.38,9.562,14.637,4.197,52.0,53.5,57.0,1553,0,50.9,0.36
33,0,0.0,0.58,0,25.1,53.400000000000006,744,54.7,56.1,-22.39,9.508,14.637,4.197,52.0,53.5,57.0,1553,0,50.9,0.36
34,0,0.0,0.59,0,25.1,53.400000000000006,741,54.9,55.9,-22.39,9.469,14.637,4.197,52.0,53.5,57.0,1553,0,50.9,0.36
35,0,0.0,0.59,0,25.1,53.400000000000006,741,55.0,55.8,-22.36,9.43,14.637,4.197,52.0,53.5,57.0,1553,0,50.9,0.36
36,0,0.0,0.61,0,25.1,53.400000000000006,741,55.2,55.9,-22.38,9.406,14.637,4.197,52.0,53.5,57.0,1553,0,50.9,0.36
37,0,0.0,0.6,0,25.0,53.400000000000006,739,55.4,55.8,-22.36,9.391,14.641,4.197,52.0,53.5,57.0,1553,0,50.8,0.36
38,0,0.0,0.61,0,25.0,53.400000000000006,740,55.6,55.6,-22.41,9.359,14.641,4.197,51.0,53.5,57.0,1553,0,50.9,0.35
39,0,0.0,0.59,0,25.0,53.400000000000006,741,55.8,55.6,-22.36,9.344,14.641,4.197,52.0,53.5,57.0,1553,0,50.9,0.35
40,0,0.0,0.59,0,24.9,53.400000000000006,742,56.1,55.5,-22.42,9.328,14.641,4.197,51.0,53.5,57.0,1553,0,50.9,0.35
41,0,0.0,0.6,0,24.9,53.400000000000006,741,56.4,55.3,-22.41,9.305,14.637,4.197,52.0,53.5,57.0,1553,0,50.9,0.35
42,0,0.0,0.6,0,25.0,53.400000000000006,739,56.6,55.2,-22.39,9.281,14.637,4.197,52.0,53.5,57.0,1553,0,50.8,0.35
43,0,0.0,0.6,0,25.0,53.400000000000006,741,56.9,55.2,-22.41,9.258,14.637,4.197,52.0,53.5,57.0,1553,0,50.8,0.35
44,0,0.0,0.58,0,25.0,53.400000000000006,742,57.3,55.0,-22.38,9.242,14.637,4.197,52.0,53.5,57.0,1553,0,50.9,0.35
45,0,0.0,0.58,0,25.0,53.400000000000006,742,57.6,54.9,-22.41,9.219,14.637,4.197,52.0,53.5,57.0,1553,0,50.8,0.35
46,0,0.0,0.59,0,25.0,53.400000000000006,741,57.9,54.9,-22.37,9.203,14.637,4.197,52.0,53.5,57.0,1553,0,50.9,0.35
47,0,0.0,0.6,0,25.0,53.400000000000006,742,58.2,54.8,-22.38,9.195,14.637,4.197,52.0,53.5,57.0,1553,0,50.8,0.35
48,0,0.0,0.59,0,25.0,53.400000000000006,742,58.6,54.8,-22.39,9.188,14.637,4.197,52.0,53.5,57.0,1553,0,50.8,0.36
49,0,0.0,0.6,0,25.0,53.400000000000006,743,58.9,54.7,-22.4,9.188,14.637,4.197,52.0,53.5,57.0,1553,0,50.8,0.36
50,0,0.0,0.6,0,25.0,53.400000000000006,741,59.2,54.7,-22.38,9.18,14.637,4.197,52.0,53.5,57.0,1553,0,50.8,0.36
51,0,0.0,0.6,0,25.0,53.400000000000006,741,59.6,54.7,-22.38,9.18,14.637,4.197,51.0,53.5,57.0,1553,0,50.8,0.36
52,0,0.0,0.59,0,25.0,53.400000000000006,742,59.8,54.7,-22.39,9.172,14.637,4.198,52.0,53.5,57.0,1553,0,50.8,0.36
53,0,0.0,0.58,0,25.0,53.400000000000006,742,60.1,54.7,-22.41,9.18,14.637,4.197,52.0,53.5,57.0,1553,0,50.8,0.36
54,0,0.0,0.6,0,25.0,53.400000000000006,744,60.4,54.6,-22.37,9.18,14.637,4.197,52.0,53.5,57.0,1553,0,50.8,0.36
55,0,0.0,0.58,0,25.0,53.400000000000006,743,60.7,54.6,-22.41,9.188,14.637,4.197,52.0,53.5,57.0,1553,0,50.8,0.36
56,0,0.0,0.59,0,25.0,53.400000000000006,743,60.9,54.5,-22.4,9.195,14.637,4.197,52.0,53.5,57.0,1553,0,50.8,0.36
57,0,0.0,0.58,0,25.0,53.400000000000006,744,61.1,54.5,-22.38,9.203,14.637,4.197,52.0,53.5,57.0,1553,0,50.8,0.36
58,0,0.0,0.6,0,24.9,53.400000000000006,744,61.3,54.5,-22.36,9.219,14.637,4.197,52.0,53.5,57.0,1553,0,50.8,0.36
59,0,0.0,0.59,0,25.0,53.400000000000006,744,61.5,54.5,-22.38,9.227,14.637,4.197,52.0,53.5,57.0,1553,0,50.8,0.36
60,0,0.0,0.58,0,25.0,53.400000000000006,744,61.7,54.4,-22.38,9.234,14.637,4.197,51.0,53.5,57.0,1553,0,50.8,0.36
61,0,0.0,0.61,0,25.0,53.400000000000006,744,61.8,54.4,-22.38,9.242,14.637,4.197,52.0,53.4,57.0,1553,0,50.8,0.36
