Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,58,0.0,0.54,0,0.0,0.0,65,49.6,-0.4,-18.6,9.719,14.402,4.197,47.0,49.4,52.0,1737,0,48.0,0.32
2,0,0.0,0.53,0,0.0,0.0,65,49.6,-0.4,-18.61,9.711,14.402,4.197,47.0,49.4,52.0,1737,0,48.1,0.33
3,130,0.0,0.53,0,0.0,0.0,65,49.6,-0.4,-18.59,9.711,14.398,4.197,47.0,49.4,52.0,1737,0,48.1,0.33
4,0,0.0,0.55,0,0.0,0.0,65,49.6,-0.4,-18.6,9.719,14.398,4.197,47.0,49.4,52.0,1737,0,48.1,0.32
5,33,0.0,0.55,0,0.0,0.0,66,49.6,-0.4,-18.6,9.711,14.402,4.197,48.0,49.4,52.0,1738,0,48.1,0.34
6,82,0.0,0.54,0,0.0,0.0,66,49.6,-0.4,-18.6,9.711,14.402,4.197,47.0,49.4,52.0,1738,0,48.1,0.33
7,88,0.0,0.54,0,0.0,0.0,65,49.6,-0.4,-18.6,9.711,14.402,4.197,48.0,49.4,52.0,1738,0,48.1,0.34
8,92,0.0,0.56,0,0.0,0.0,66,49.6,-0.4,-18.6,9.711,14.402,4.197,47.0,49.4,52.0,1738,0,48.1,0.33
9,95,0.0,0.54,0,0.0,0.0,65,49.6,-0.4,-18.61,9.711,14.402,4.197,47.0,49.4,52.0,1738,0,48.1,0.34
10,93,0.0,0.55,0,0.0,0.0,66,49.6,-0.4,-18.6,9.719,14.402,4.197,47.0,49.4,52.0,1738,0,48.1,0.33
11,91,0.0,0.55,0,0.0,0.0,66,49.6,-0.4,-18.6,9.711,14.402,4.197,47.0,49.4,52.0,1738,0,48.1,0.34
12,96,0.0,0.55,0,0.0,0.0,66,49.6,-0.4,-18.61,9.711,14.402,4.197,47.0,49.4,52.0,1738,0,48.1,0.33
13,98,0.0,0.55,0,0.0,0.0,66,49.6,-0.4,-18.59,9.703,14.402,4.197,47.0,49.4,52.0,1738,0,48.1,0.33
14,96,0.0,0.55,0,0.0,0.0,65,49.6,-0.4,-18.6,9.703,14.402,4.197,47.0,49.4,52.0,1738,0,48.1,0.33
15,94,0.0,0.54,0,0.0,0.0,66,49.6,-0.4,-18.59,9.703,14.402,4.197,47.0,49.4,52.0,1738,0,48.1,0.33
16,0,0.0,0.56,0,0.0,0.0,65,49.6,-0.4,-18.59,9.703,14.402,4.197,47.0,49.4,52.0,1738,0,48.1,0.33
17,90,0.0,0.54,0,0.0,0.0,65,49.6,-0.4,-18.6,9.742,14.406,4.197,47.0,49.4,53.0,1738,0,48.1,0.34
18,67,0.0,0.55,0,0.0,0.0,65,49.6,-0.4,-18.59,9.742,14.406,4.197,47.0,49.4,53.0,1738,0,48.1,0.33
19,0,0.0,0.55,0,0.0,0.0,65,49.6,-0.4,-18.6,9.742,14.406,4.197,47.0,49.4,53.0,1738,0,48.1,0.34
20,40,0.0,0.54,0,0.0,0.0,71,50.6,-0.4,-18.6,9.906,14.398,4.198,48.0,49.8,55.0,1739,0,48.4,0.32
21,0,0.0,0.54,0,0.0,0.0,71,50.6,-0.4,-18.59,9.906,14.398,4.198,48.0,49.9,55.0,1739,0,48.4,0.32
