Time,Groundspeed,Cabin Diff PSI,Bld Px PSI,Bleed On,N1 %,N2 %,ITT (F),Oil Temp (F),Oil Px PSI,TLA DEG,TT2 (C),PT2 PSI,CHPV,ECS PRI DUCT T (F),ECS PRI DUCT T2 (F),ECS CKPT T (F),O2 BTL Px PSI,O2 VLV Open,EIPS TMP (F),EIPS PRS PSI
1,0,0.0,0.5,0,0.0,9.6,80,58.7,5.9,-22.43,12.961,14.625,4.197,9.899999762399945e+24,52.8,54.0,1720,0,50.7,0.33
2,0,0.0,0.51,0,0.0,12.9,146,58.7,16.1,-22.43,12.961,14.625,4.197,9.899999762399945e+24,52.8,54.0,1720,0,50.7,0.33
3,0,0.0,0.52,0,1.0,15.7,352,58.7,30.0,-22.43,12.961,14.625,4.197,51.0,52.8,54.0,1720,0,50.7,0.34
4,0,0.0,0.52,0,2.1,18.099999999999998,590,58.7,36.2,-22.44,12.953,14.621,4.197,51.0,52.8,54.0,1720,0,50.7,0.34
5,0,0.0,0.51,0,3.0,20.3,788,58.7,41.4,-22.44,12.953,14.625,4.197,51.0,52.8,54.0,1720,0,50.7,0.32
6,0,0.0,0.53,0,4.0,22.3,921,58.8,45.8,-22.44,12.938,14.621,4.197,51.0,52.8,54.0,1720,0,50.7,0.33
7,0,0.0,0.52,0,5.0,22.900000000000002,995,58.7,48.1,-22.43,12.93,14.621,4.197,51.0,52.8,54.0,1720,0,50.7,0.33
8,0,0.0,0.53,0,5.8999999999999995,23.0,1037,58.7,48.7,-22.42,12.906,14.621,4.197,51.0,52.8,54.0,1720,0,50.7,0.34
9,0,0.0,0.55,0,6.7,23.400000000000002,1079,58.6,49.7,-22.44,12.867,14.621,4.197,51.0,52.8,54.0,1720,0,50.7,0.34
10,0,0.0,0.55,0,7.5,24.099999999999998,1135,58.6,51.3,-22.42,12.828,14.621,4.197,51.0,52.8,54.0,1720,0,50.7,0.33
11,0,0.0,0.55,0,8.3,24.9,1207,58.6,53.2,-22.41,12.789,14.617,4.197,51.0,52.8,54.0,1720,0,50.7,0.33
12,0,0.0,0.56,0,9.2,25.8,1291,58.6,55.7,-22.42,12.734,14.613,4.197,51.0,52.8,54.0,1720,0,50.7,0.33
13,0,0.0,0.57,0,10.2,27.0,1376,58.8,58.7,-22.42,12.68,14.617,4.197,51.0,52.8,54.0,1720,0,50.7,0.34
14,0,0.0,0.54,0,11.200000000000001,28.4,1460,58.9,61.9,-22.42,12.617,14.621,4.197,51.0,52.8,54.0,1720,0,50.7,0.33
15,0,0.0,0.52,0,12.3,30.2,1542,59.1,66.5,-22.42,12.562,14.621,4.197,51.0,52.8,54.0,1720,0,50.7,0.34
16,0,0.0,0.56,0,13.5,32.7,1615,59.2,71.6,-22.42,12.5,14.621,4.197,51.0,52.8,54.0,1720,0,50.7,0.34
17,0,0.0,0.57,0,14.6,35.0,1640,59.3,47.8,-22.43,12.43,14.621,4.197,51.0,52.8,54.0,1720,0,50.7,0.33
18,0,0.0,0.55,0,15.6,37.3,1604,59.1,48.6,-22.41,12.359,14.621,4.197,51.0,52.8,54.0,1720,0,50.7,0.33
19,0,0.0,0.54,0,16.8,40.1,1539,58.9,49.7,-22.42,12.289,14.621,4.197,51.0,52.8,54.0,1720,0,50.7,0.33
20,0,0.0,0.53,0,18.2,43.5,1465,58.8,51.1,-22.42,12.219,14.617,4.197,51.0,52.8,54.0,1720,0,50.7,0.33
21,0,0.0,0.51,0,20.3,48.1,1392,58.9,52.9,-22.4,12.156,14.613,4.197,51.0,52.8,54.0,1720,0,50.7,0.33
22,0,0.0,0.5,0,23.0,52.6,1321,59.0,54.7,-22.41,12.086,14.613,4.197,51.0,52.8,54.0,1720,0,50.7,0.33
23,0,0.0,0.51,0,24.6,53.5,1229,59.3,55.2,-22.42,12.023,14.609,4.197,51.0,52.8,54.0,1720,0,50.7,0.33
24,0,0.0,0.51,0,25.1,53.400000000000006,1129,59.6,55.1,-22.42,11.961,14.609,4.197,51.0,52.8,54.0,1720,0,50.7,0.33
25,0,0.0,0.53,0,25.3,53.400000000000006,1029,59.8,55.1,-22.41,11.898,14.613,4.197,51.0,52.8,54.0,1720,0,50.7,0.32
26,0,0.0,0.52,0,25.4,53.400000000000006,938,60.0,55.0,-22.41,11.836,14.617,4.197,51.0,52.8,54.0,1720,0,50.7,0.33
27,0,0.0,0.51,0,25.4,53.400000000000006,883,60.3,54.9,-22.43,11.781,14.621,4.197,51.0,52.8,54.0,1720,0,50.7,0.34
28,0,0.0,0.52,0,25.4,53.300000000000004,844,60.5,55.0,-22.39,11.727,14.621,4.197,51.0,52.8,54.0,1720,0,50.7,0.34
29,0,0.0,0.53,0,25.4,53.400000000000006,818,60.6,54.9,-22.37,11.664,14.621,4.197,51.0,52.7,54.0,1720,0,50.7,0.33
30,0,0.0,0.54,0,25.4,53.400000000000006,803,60.8,54.8,-22.35,11.609,14.621,4.197,51.0,52.8,54.0,1720,0,50.7,0.33
31,0,0.0,4.12,1,25.3,53.400000000000006,792,61.0,54.8,-22.37,11.562,14.621,4.197,51.0,52.8,55.0,1720,0,50.7,0.33
32,0,0.0,9.13,1,25.1,53.300000000000004,790,61.1,54.8,-22.32,11.523,14.621,4.197,51.0,52.8,55.0,1716,1,50.7,0.34
33,0,0.0,10.22,1,25.1,53.400000000000006,798,61.2,54.8,-22.36,11.477,14.621,4.197,51.0,52.8,55.0,1711,1,50.7,0.33
